complaint_id;customer_id;flight_id;booking_id;complaint_date;complaint_type;complaint_text;assigned_department;resolution_status;corrective_action_taken
CMP000075;CUST0011;FLT00026;BKG000684;2025-05-05;Ramp Ops;Boarding for flight HF657 was chaotic. Passengers held on tarmac in rain for 45 min with no shelter. No staff to assist elderly passengers.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000076;CUST0075;FLT00067;BKG001107;2025-05-09;Others;Purchased Flex fare for HF170 and tried to change booking online. System error for 5 days. Called support, on hold 72 min then disconnected. Missed change window.;Customer Service;Escalated;Denied boarding compensation 355 USD paid per IATA policy. Overbooking model under review by Revenue Management.
CMP000077;CUST0216;FLT00270;BKG000233;2025-02-02;Ramp Ops;Boarding for flight HF234 was chaotic. Passengers held on tarmac in rain for 57 min with no shelter. No staff to assist elderly passengers.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000078;CUST0032;FLT00246;BKG000823;2025-08-07;Baggage;Trois bagages familiaux non chargés sur vol HF707. Promesse de livraison le lendemain. Cela fait 10 jours — toujours rien à JNB.;Baggage;Escalated;PIR confirmed. Bag located at ABJ hub — delivered within 48h. 204 USD emergency expense reimbursed. Loading checklist gap identified.
CMP000079;CUST0272;FLT00151;BKG000930;2025-09-16;Service;Repas servi froid sans choix sur vol HF175 (ABJ?BRU). Pour 209 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Apology issued. Escalated to VP Customer Experience. 216 USD miles credited as goodwill gesture.
CMP000080;CUST0213;FLT00374;BKG000195;2025-06-10;Service;Repas servi froid sans choix sur vol HF973 (ABJ?SPY). Pour 542 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000081;CUST0067;FLT00285;BKG000123;2025-10-28;Baggage;Baggage from flight HF256 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 167 USD replacement compensation.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000082;CUST0260;FLT00109;BKG000317;2025-12-03;Others;Promotional upgrade link for ABJ-SPY was broken. Offer expired before IT fix. Requesting upgrade at advertised price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000083;CUST0286;FLT00014;BKG001248;2025-12-03;Baggage;Ma poussette enregistrée à ABJ est arrivée à CMN complètement détruite. L'article coûte 365 USD. Aucune solution proposée par le personnel au sol.;Baggage;Escalated;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000084;CUST0073;FLT00380;BKG001297;2025-01-16;Ramp Ops;Wheelchair assistance requested at booking (HF3347) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Resolved;Ramp Supervisor debriefed. Tarmac shelter protocol added to Standard Operating Procedures immediately.
CMP000085;CUST0081;FLT00387;BKG001266;2025-01-26;Delay;Vol HF529 du 2025-08-21 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à CDG.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000086;CUST0146;FLT00348;BKG001390;2025-10-31;Service;Repas servi froid sans choix sur vol HF597 (ABJ?CDG). Pour 300 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000087;CUST0149;FLT00168;BKG000246;2025-01-04;Baggage;Baggage from flight HF325 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 289 USD replacement compensation.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000088;CUST0010;FLT00236;BKG000160;2025-06-10;Baggage;Luggage did not arrive on flight HF489 from ABJ to ACC on 2025-09-30. After 10 days no update. I was traveling for a conference — emergency expenses of 764 USD claimed.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 253 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000089;CUST0055;FLT00125;BKG000893;2025-10-29;Service;Repas servi froid sans choix sur vol HF396 (ABJ?CDG). Pour 255 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000090;CUST0262;FLT00100;BKG000716;2025-06-29;Baggage;Luggage did not arrive on flight HF863 from ABJ to LOS on 2025-06-23. After 7 days no update. I was traveling for a conference — emergency expenses of 252 USD claimed.;Baggage;Resolved;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000091;CUST0289;FLT00390;BKG001187;2025-08-18;Service;Repas servi froid sans choix sur vol HF341 (ABJ?ACC). Pour 257 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Escalated;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000092;CUST0029;FLT00181;BKG001040;2025-02-07;Service;Check-in staff at ABJ overwhelmed. Waited 48 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Escalated;Incident report filed with In-Flight Service Director. Customer compensated 373 USD travel credit. Crew behavior under review.
CMP000093;CUST0022;FLT00231;BKG001171;2025-11-30;Delay;Vol HF477 annulé sans solution de remplacement immédiate. 688 USD remboursés sur 819 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000094;CUST0021;FLT00127;BKG001450;2025-08-13;Delay;Vol HF254 du 2025-02-01 retardé de 5h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à JNB.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000095;CUST0034;FLT00169;BKG000194;2025-10-13;Others;Denied boarding on HF472 despite confirmed booking HF1857. No immediate alternative offered. Had to book another carrier at double the price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000096;CUST0287;FLT00193;BKG001318;2025-06-18;Service;Cabin crew on flight HF441 was dismissive. Pre-ordered vegetarian meal unavailable — no apology, no alternative. As a Silver member this is unacceptable.;Customer Service;Resolved;Incident report filed with In-Flight Service Director. Customer compensated 354 USD travel credit. Crew behavior under review.
CMP000097;CUST0175;FLT00393;BKG000996;2025-04-09;Ramp Ops;Bus de transfert vers HF195 surchargé — passagers debout sans ceinture sur le tarmac. Risque sécurité évident. Gestion rampe à revoir d'urgence.;Ramp;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000098;CUST0068;FLT00306;BKG000772;2025-03-20;Delay;As a Gold member I expect minimum transparency. Flight HF402 departed 6h late — zero proactive communication, no meal vouchers, no rebooking assistance.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000099;CUST0120;FLT00274;BKG000490;2025-06-08;Delay;As a Gold member I expect minimum transparency. Flight HF838 departed 2h late — zero proactive communication, no meal vouchers, no rebooking assistance.;Operations;Escalated;Escalated to Operations Director. Apology letter + 362 USD travel voucher sent. 30-min buffer added to rotation schedule for this route.
CMP000100;CUST0083;FLT00419;BKG000409;2025-11-06;Others;Promotional upgrade link for ABJ-DKR was broken. Offer expired before IT fix. Requesting upgrade at advertised price.;Customer Service;Escalated;Online change tool bug logged with IT. Fare difference waived as goodwill — passenger rebooked at no extra cost.
CMP000101;CUST0231;FLT00464;BKG001052;2025-03-17;Delay;Vol HF995 du 2025-07-10 retardé de 6h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à BRU.;Operations;Resolved;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
CMP000102;CUST0042;FLT00192;BKG000460;2025-01-15;Ramp Ops;Bus de transfert vers HF936 surchargé — passagers debout sans ceinture sur le tarmac. Risque sécurité évident. Gestion rampe à revoir d'urgence.;Ramp;Resolved;Passenger compensated 241 USD. Additional staff allocated to peak-hour departures on this route.
CMP000103;CUST0041;FLT00010;BKG000525;2025-04-21;Delay;Vol HF910 annulé sans solution de remplacement immédiate. 563 USD remboursés sur 442 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 279 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000104;CUST0235;FLT00033;BKG000228;2025-09-13;Ramp Ops;Les équipes rampe ont endommagé la porte cargo lors du chargement du vol HF533. Départ retardé de 4h — incident évitable avec plus de soin.;Ramp;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000105;CUST0044;FLT00269;BKG000739;2025-02-04;Service;Repas servi froid sans choix sur vol HF688 (ABJ?JNB). Pour 81 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Check-in team lead notified. Priority lane procedures reviewed. Passenger offered complimentary upgrade on next booking as goodwill.
CMP000106;CUST0183;FLT00404;BKG000139;2025-06-26;Others;Purchased Flex fare for HF667 and tried to change booking online. System error for 9 days. Called support, on hold 22 min then disconnected. Missed change window.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000107;CUST0238;FLT00357;BKG000981;2025-11-20;Delay;Vol HF890 du 2025-10-25 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à SPY.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000108;CUST0279;FLT00243;BKG000519;2025-01-19;Delay;Vol HF137 annulé sans solution de remplacement immédiate. 284 USD remboursés sur 342 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Escalated to Operations Director. Apology letter + 208 USD travel voucher sent. 30-min buffer added to rotation schedule for this route.
CMP000109;CUST0174;FLT00096;BKG001017;2025-12-21;Service;Repas servi froid sans choix sur vol HF982 (ABJ?CMN). Pour 898 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000110;CUST0053;FLT00041;BKG000672;2025-12-05;Baggage;Baggage from flight HF373 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 696 USD replacement compensation.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000111;CUST0208;FLT00187;BKG001051;2025-12-14;Delay;Flight HF270 from ABJ to CDG was delayed 5h on 2025-12-20 with no gate announcement. I missed my connection and had to book an emergency hotel at 123 USD out of pocket.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 190 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000112;CUST0079;FLT00348;BKG000922;2025-07-09;Delay;Vol HF135 annulé sans solution de remplacement immédiate. 740 USD remboursés sur 675 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 246 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000113;CUST0266;FLT00199;BKG001151;2025-03-02;Baggage;Ma valise est arrivée à ACC avec la serrure forcée et des objets manquants d'une valeur de 365 USD. Rapport PIR déposé (réf. HF2858) — aucune réponse depuis 7 jours.;Baggage;Escalated;Bag found misrouted. Returned within 72h. Apology + 63 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000114;CUST0045;FLT00415;BKG001397;2025-06-13;Delay;Vol HF319 du 2025-11-10 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à BRU.;Operations;Resolved;Escalated to Operations Director. Apology letter + 281 USD travel voucher sent. 30-min buffer added to rotation schedule for this route.
CMP000115;CUST0063;FLT00103;BKG000285;2025-05-02;Service;Personnel bord vol HF655 peu professionnel. Ignoré plusieurs fois lors du service. Une hôtesse a répondu sèchement à ma demande de couverture.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000116;CUST0270;FLT00211;BKG000839;2025-10-22;Ramp Ops;Wheelchair assistance requested at booking (HF2077) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Resolved;Passenger compensated 208 USD. Additional staff allocated to peak-hour departures on this route.
CMP000117;CUST0258;FLT00467;BKG000114;2025-03-05;Delay;Retard de 6h sur le vol HF560 (ABJ?SPY). Aucun bon repas proposé. À l'arrivée à SPY, bagages livrés 7h plus tard. Désorganisation totale.;Operations;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000118;CUST0065;FLT00321;BKG000621;2025-11-11;Baggage;Ma poussette enregistrée à ABJ est arrivée à ACC complètement détruite. L'article coûte 370 USD. Aucune solution proposée par le personnel au sol.;Baggage;Resolved;Item reported missing. 150 USD interim payment issued pending investigation. CCTV review requested with destination airport.
CMP000119;CUST0024;FLT00329;BKG001182;2025-05-16;Baggage;Luggage did not arrive on flight HF706 from ABJ to ACC on 2025-10-25. After 4 days no update. I was traveling for a conference — emergency expenses of 719 USD claimed.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000120;CUST0153;FLT00233;BKG000150;2025-12-19;Service;Personnel bord vol HF732 peu professionnel. Ignoré plusieurs fois lors du service. Une hôtesse a répondu sèchement à ma demande de couverture.;Customer Service;Escalated;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000121;CUST0264;FLT00288;BKG000218;2025-06-13;Delay;Vol HF575 du 2025-04-15 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à BRU.;Operations;Resolved;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
CMP000122;CUST0161;FLT00098;BKG000327;2025-09-13;Delay;As a Gold member I expect minimum transparency. Flight HF353 departed 2h late — zero proactive communication, no meal vouchers, no rebooking assistance.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000123;CUST0026;FLT00145;BKG001014;2025-11-02;Others;Denied boarding on HF609 despite confirmed booking HF4524. No immediate alternative offered. Had to book another carrier at double the price.;Customer Service;Resolved;Refund of 348 USD processed within 5 business days. IT team notified — booking system fix deployed in next release.
CMP000124;CUST0024;FLT00206;BKG000105;2025-10-19;Ramp Ops;During disembarkation from HF392 at BRU, passengers kept on jet bridge 47 min in extreme heat. Ground crew communication nonexistent.;Ramp;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000125;CUST0192;FLT00407;BKG000695;2025-10-13;Baggage;Luggage did not arrive on flight HF175 from ABJ to LOS on 2025-07-17. After 9 days no update. I was traveling for a conference — emergency expenses of 643 USD claimed.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 115 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000126;CUST0234;FLT00077;BKG001242;2025-09-21;Others;Points fidélité suite au vol HF716 du 2025-09-18 non crédités après 10 jours. En tant que Gold, j'attends ce crédit pour maintenir mon statut.;Customer Service;Escalated;Upgrade granted at advertised price. Web team notified — email campaign QA to include link validation going forward.
CMP000127;CUST0289;FLT00154;BKG000973;2025-01-09;Delay;Retard de 6h sur le vol HF266 (ABJ?CMN). Aucun bon repas proposé. À l'arrivée à CMN, bagages livrés 6h plus tard. Désorganisation totale.;Operations;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000128;CUST0246;FLT00088;BKG001074;2025-11-19;Baggage;Ma poussette enregistrée à ABJ est arrivée à CDG complètement détruite. L'article coûte 751 USD. Aucune solution proposée par le personnel au sol.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000129;CUST0215;FLT00078;BKG000846;2025-12-20;Service;Repas servi froid sans choix sur vol HF251 (ABJ?CDG). Pour 797 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Escalated;Incident report filed with In-Flight Service Director. Customer compensated 59 USD travel credit. Crew behavior under review.
CMP000130;CUST0161;FLT00089;BKG000942;2025-09-30;Delay;Retard de 3h sur le vol HF993 (ABJ?BRU). Aucun bon repas proposé. À l'arrivée à BRU, bagages livrés 10h plus tard. Désorganisation totale.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000131;CUST0251;FLT00163;BKG000983;2025-06-28;Baggage;Baggage from flight HF724 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 651 USD replacement compensation.;Baggage;Resolved;Damage claim approved. 202 USD compensation issued. Baggage team retrained on fragile item protocol. Logged in Ramp Quality tracker.
CMP000132;CUST0148;FLT00366;BKG000162;2025-06-27;Baggage;Luggage did not arrive on flight HF394 from ABJ to LOS on 2025-03-04. After 10 days no update. I was traveling for a conference — emergency expenses of 484 USD claimed.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000133;CUST0123;FLT00125;BKG000104;2025-12-09;Others;Promotional upgrade link for ABJ-BRU was broken. Offer expired before IT fix. Requesting upgrade at advertised price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000134;CUST0209;FLT00335;BKG000975;2025-09-02;Ramp Ops;Les équipes rampe ont endommagé la porte cargo lors du chargement du vol HF153. Départ retardé de 5h — incident évitable avec plus de soin.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000135;CUST0091;FLT00479;BKG000075;2025-07-23;Service;Personnel bord vol HF428 peu professionnel. Ignoré plusieurs fois lors du service. Une hôtesse a répondu sèchement à ma demande de couverture.;Customer Service;Escalated;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000136;CUST0269;FLT00253;BKG000275;2025-09-16;Service;Repas servi froid sans choix sur vol HF997 (ABJ?LOS). Pour 697 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Apology issued. Escalated to VP Customer Experience. 195 USD miles credited as goodwill gesture.
CMP000137;CUST0090;FLT00313;BKG001309;2025-07-27;Baggage;Ma poussette enregistrée à ABJ est arrivée à SPY complètement détruite. L'article coûte 270 USD. Aucune solution proposée par le personnel au sol.;Baggage;Resolved;Damage claim approved. 201 USD compensation issued. Baggage team retrained on fragile item protocol. Logged in Ramp Quality tracker.
CMP000138;CUST0197;FLT00121;BKG000915;2025-05-17;Ramp Ops;During disembarkation from HF510 at SPY, passengers kept on jet bridge 28 min in extreme heat. Ground crew communication nonexistent.;Ramp;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000139;CUST0258;FLT00473;BKG001441;2025-06-09;Others;Remboursement pour vol HF367 annulé le 2025-12-01 toujours non traité après 5 jours. Montant de 763 USD en attente. Trois relances sans réponse.;Customer Service;Resolved;Online change tool bug logged with IT. Fare difference waived as goodwill — passenger rebooked at no extra cost.
CMP000140;CUST0213;FLT00360;BKG001125;2025-08-30;Service;Check-in staff at ABJ overwhelmed. Waited 28 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000141;CUST0032;FLT00425;BKG001122;2025-09-16;Service;Flight attendant argued loudly with a passenger on HF880. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Escalated;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000142;CUST0229;FLT00415;BKG000114;2025-08-21;Delay;Vol HF435 annulé sans solution de remplacement immédiate. 290 USD remboursés sur 897 USD payés. Délai remboursement toujours en attente.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000143;CUST0217;FLT00177;BKG001435;2025-02-02;Delay;Flight HF672 from ABJ to BYK was delayed 4h on 2025-08-25 with no gate announcement. I missed my connection and had to book an emergency hotel at 340 USD out of pocket.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 346 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000144;CUST0194;FLT00193;BKG000165;2025-12-16;Baggage;Trois bagages familiaux non chargés sur vol HF583. Promesse de livraison le lendemain. Cela fait 8 jours — toujours rien à SPY.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 241 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000145;CUST0153;FLT00238;BKG001380;2025-10-06;Others;Purchased Flex fare for HF769 and tried to change booking online. System error for 4 days. Called support, on hold 54 min then disconnected. Missed change window.;Customer Service;Escalated;Refund of 164 USD processed within 5 business days. IT team notified — booking system fix deployed in next release.
CMP000146;CUST0009;FLT00124;BKG000423;2025-02-04;Baggage;Trois bagages familiaux non chargés sur vol HF353. Promesse de livraison le lendemain. Cela fait 4 jours — toujours rien à DKR.;Baggage;Resolved;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000147;CUST0120;FLT00418;BKG001499;2025-10-22;Delay;Vol HF350 annulé sans solution de remplacement immédiate. 632 USD remboursés sur 522 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
CMP000148;CUST0090;FLT00321;BKG001391;2025-08-07;Delay;Vol HF342 annulé sans solution de remplacement immédiate. 503 USD remboursés sur 607 USD payés. Délai remboursement toujours en attente.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000149;CUST0095;FLT00387;BKG001102;2025-08-31;Baggage;Baggage from flight HF758 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 793 USD replacement compensation.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 126 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000150;CUST0131;FLT00105;BKG000677;2025-11-28;Delay;Retard de 2h sur le vol HF925 (ABJ?ACC). Aucun bon repas proposé. À l'arrivée à ACC, bagages livrés 10h plus tard. Désorganisation totale.;Operations;Resolved;Compensation 118 USD processed per IATA delay policy. Internal debrief with ground ops scheduled. OTP dashboard updated with incident flag.
