review_id;customer_id;flight_id;route_id;review_date;rating_1_5;review_text;nlp_sentiment;complaint_category;language;linked_booking_id
REV000001;CUST0085;FLT00388;R005;2025-09-21;5;Pleasant flight HF575, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Ponctualité;EN;BKG000288
REV000002;CUST0120;FLT00022;R009;2025-12-09;4;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Rapport qualité;FR;BKG000424
REV000003;CUST0135;FLT00297;R010;2025-10-06;2;The aircraft on flight HF147 was old and dirty. Entertainment system broken. Not worth the 481 USD I paid.;Négatif;Confort;EN;BKG001168
REV000004;CUST0177;FLT00250;R004;2025-09-04;3;Retard de 4h sur HF629 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 5h. Expérience désastreuse.;Neutre;Retard/Annulation;FR;BKG001238
REV000005;CUST0061;FLT00339;R001;2025-04-28;1;Personnel au sol peu professionnel lors de l'enregistrement. 30 minutes d'attente en file prioritaire — aucun sens du service.;Négatif;Bagages;FR;BKG000850
REV000006;CUST0294;FLT00304;R007;2025-03-24;5;Pleasant flight HF315, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Rapport qualité;EN;BKG000276
REV000007;CUST0146;FLT00044;R010;2025-04-21;4;Équipage très professionnel et souriant sur le vol HF364. Départ à l'heure, bagages récupérés rapidement. Excellente expérience, je reviendrai.;Positif;Ponctualité;FR;BKG000920
REV000008;CUST0233;FLT00306;R009;2025-10-30;2;The aircraft on flight HF246 was old and dirty. Entertainment system broken. Not worth the 825 USD I paid.;Négatif;Prix/Rapport qualité;EN;BKG000141
REV000009;CUST0020;FLT00450;R005;2025-09-30;1;Personnel au sol peu professionnel lors de l'enregistrement. 31 minutes d'attente en file prioritaire — aucun sens du service.;Négatif;Bagages;FR;BKG001031
REV000010;CUST0247;FLT00405;R002;2025-07-15;4;Très bonne surprise pour ce vol ABJ?SPY. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Rapport qualité;FR;BKG000718
REV000011;CUST0061;FLT00267;R002;2025-01-04;1;Personnel au sol peu professionnel lors de l'enregistrement. 20 minutes d'attente en file prioritaire — aucun sens du service.;Négatif;Retard/Annulation;FR;BKG000769
REV000012;CUST0290;FLT00188;R005;2025-11-10;2;L'avion était dans un état déplorable. Sièges tachés, climatisation défaillante. Inacceptable pour le prix payé (749 USD).;Négatif;Retard/Annulation;FR;BKG000565
REV000013;CUST0177;FLT00397;R008;2025-12-28;3;As a Gold member I expect better. Crew on HF283 was dismissive and unhelpful throughout the entire flight.;Neutre;Confort;EN;BKG000816
REV000014;CUST0027;FLT00083;R004;2025-07-19;4;Smooth experience from check-in to landing on HF901. The crew was professional and the flight arrived early. Well done.;Positif;Rapport qualité;EN;BKG001303
REV000015;CUST0020;FLT00371;R001;2025-07-16;5;Smooth experience from check-in to landing on HF545. The crew was professional and the flight arrived early. Well done.;Positif;Embarquement;EN;BKG000821
REV000016;CUST0018;FLT00402;R010;2025-11-03;4;Très bonne surprise pour ce vol ABJ?JNB. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Ponctualité;FR;BKG001046
REV000017;CUST0208;FLT00301;R010;2025-04-13;4;Siège business très confortable sur ce long-courrier. Repas de qualité, équipage aux petits soins. Le meilleur vol que j'ai eu avec Air CI.;Positif;Confort;FR;BKG001061
REV000018;CUST0207;FLT00295;R001;2025-01-03;1;Boarding process for HF391 was chaotic with no organization. Missed my connection because of the delay — no assistance offered.;Négatif;Prix/Rapport qualité;EN;BKG000535
REV000019;CUST0227;FLT00194;R004;2025-10-16;1;Annulation de dernière minute sans solution de remplacement. 675 USD remboursés sur 663 USD payés. Je n'ai aucune confiance dans cette compagnie.;Négatif;Prix/Rapport qualité;FR;BKG000991
REV000020;CUST0113;FLT00347;R005;2025-12-26;5;Smooth experience from check-in to landing on HF700. The crew was professional and the flight arrived early. Well done.;Positif;Rapport qualité;EN;BKG000471
REV000021;CUST0176;FLT00039;R007;2025-10-11;3;Repas servi froid, aucun choix possible sur vol HF817. Pour 444 USD en classe affaires, c'est en dessous du minimum acceptable.;Neutre;Retard/Annulation;FR;BKG000366
REV000022;CUST0118;FLT00104;R009;2025-05-08;3;Bagage arrivé 5 jours après moi à BRU. Aucune indemnisation proposée. Service client injoignable. Scandaleux pour une compagnie qui veut être sérieuse.;Neutre;Service client;FR;BKG001267
REV000023;CUST0253;FLT00460;R007;2025-10-22;1;Annulation de dernière minute sans solution de remplacement. 193 USD remboursés sur 893 USD payés. Je n'ai aucune confiance dans cette compagnie.;Négatif;Confort;FR;BKG000563
REV000024;CUST0258;FLT00178;R009;2025-07-21;5;Équipage très professionnel et souriant sur le vol HF327. Départ à l'heure, bagages récupérés rapidement. Excellente expérience, je reviendrai.;Positif;Rapport qualité;FR;BKG001406
REV000025;CUST0167;FLT00186;R004;2025-11-10;3;Vol retardé de 2h sans aucune communication. Aucun bon de réduction proposé. Personnel au sol dépassé. Je prends Ethiopian la prochaine fois.;Neutre;Confort;FR;BKG000532
REV000026;CUST0191;FLT00187;R004;2025-07-25;2;Repas servi froid, aucun choix possible sur vol HF451. Pour 660 USD en classe affaires, c'est en dessous du minimum acceptable.;Négatif;Prix/Rapport qualité;FR;BKG000573
REV000027;CUST0196;FLT00101;R009;2025-03-16;3;Retard de 2h sur HF933 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 7h. Expérience désastreuse.;Neutre;Bagages;FR;BKG000307
REV000028;CUST0204;FLT00051;R009;2025-12-20;2;Flight HF969 delayed 4 hours with zero communication from staff. I will avoid Air CI and recommend others do the same.;Négatif;Bagages;EN;BKG000335
REV000029;CUST0132;FLT00177;R001;2025-01-11;3;Retard de 4h sur HF560 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 4h. Expérience désastreuse.;Neutre;Retard/Annulation;FR;BKG000844
REV000030;CUST0041;FLT00196;R002;2025-11-11;4;Siège business très confortable sur ce long-courrier. Repas de qualité, équipage aux petits soins. Le meilleur vol que j'ai eu avec Air CI.;Positif;Embarquement;FR;BKG000587
REV000031;CUST0163;FLT00335;R009;2025-05-30;1;Annulation de dernière minute sans solution de remplacement. 231 USD remboursés sur 565 USD payés. Je n'ai aucune confiance dans cette compagnie.;Négatif;Service client;FR;BKG001455
REV000032;CUST0121;FLT00339;R006;2025-05-09;2;Repas servi froid, aucun choix possible sur vol HF865. Pour 321 USD en classe affaires, c'est en dessous du minimum acceptable.;Négatif;Service client;FR;BKG001436
REV000033;CUST0043;FLT00054;R002;2025-05-15;1;Retard de 5h sur HF999 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 6h. Expérience désastreuse.;Négatif;Retard/Annulation;FR;BKG001266
REV000034;CUST0270;FLT00430;R004;2025-03-29;5;Très bonne surprise pour ce vol ABJ?ACC. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Confort;FR;BKG000059
REV000035;CUST0234;FLT00324;R001;2025-11-22;5;Rien à redire : vol à l'heure, bagages à la sortie en 7 minutes, personnel aimable. Continuez comme ça.;Positif;Rapport qualité;FR;BKG001156
REV000036;CUST0080;FLT00156;R008;2025-01-06;5;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Confort;FR;BKG000001
REV000037;CUST0221;FLT00409;R010;2025-05-30;5;Pleasant flight HF580, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Confort;EN;BKG001223
REV000038;CUST0135;FLT00041;R005;2025-08-05;4;Pleasant flight HF674, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Rapport qualité;EN;BKG001281
REV000039;CUST0057;FLT00327;R005;2025-08-22;5;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Confort;FR;BKG001266
REV000040;CUST0138;FLT00065;R009;2025-08-13;4;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Confort;FR;BKG001490
REV000041;CUST0042;FLT00432;R001;2025-03-16;2;Annulation de dernière minute sans solution de remplacement. 660 USD remboursés sur 780 USD payés. Je n'ai aucune confiance dans cette compagnie.;Négatif;Bagages;FR;BKG000115
REV000042;CUST0127;FLT00378;R006;2025-01-18;2;Boarding process for HF296 was chaotic with no organization. Missed my connection because of the delay — no assistance offered.;Négatif;Bagages;EN;BKG000408
REV000043;CUST0282;FLT00267;R009;2025-03-04;3;Flight HF584 delayed 5 hours with zero communication from staff. I will avoid Air CI and recommend others do the same.;Neutre;Bagages;EN;BKG000519
REV000044;CUST0142;FLT00300;R009;2025-03-03;1;Retard de 3h sur HF215 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 7h. Expérience désastreuse.;Négatif;Bagages;FR;BKG000811
REV000045;CUST0174;FLT00477;R005;2025-11-17;3;Vol retardé de 3h sans aucune communication. Aucun bon de réduction proposé. Personnel au sol dépassé. Je prends Ethiopian la prochaine fois.;Neutre;Confort;FR;BKG000123
REV000046;CUST0099;FLT00011;R001;2025-12-19;3;Repas servi froid, aucun choix possible sur vol HF228. Pour 474 USD en classe affaires, c'est en dessous du minimum acceptable.;Neutre;Retard/Annulation;FR;BKG000774
REV000047;CUST0096;FLT00279;R007;2025-06-28;1;As a Gold member I expect better. Crew on HF823 was dismissive and unhelpful throughout the entire flight.;Négatif;Confort;EN;BKG000663
REV000048;CUST0001;FLT00398;R009;2025-11-23;4;Siège business très confortable sur ce long-courrier. Repas de qualité, équipage aux petits soins. Le meilleur vol que j'ai eu avec Air CI.;Positif;Service bord;FR;BKG001037
REV000049;CUST0269;FLT00350;R008;2025-09-12;5;Pleasant flight HF344, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Embarquement;EN;BKG001130
REV000050;CUST0017;FLT00104;R004;2025-02-24;3;Bagage arrivé 6 jours après moi à ACC. Aucune indemnisation proposée. Service client injoignable. Scandaleux pour une compagnie qui veut être sérieuse.;Neutre;Service client;FR;BKG000995
REV000051;CUST0107;FLT00336;R005;2025-09-09;5;Équipage très professionnel et souriant sur le vol HF638. Départ à l'heure, bagages récupérés rapidement. Excellente expérience, je reviendrai.;Positif;Rapport qualité;FR;BKG000164
REV000052;CUST0037;FLT00428;R009;2025-06-05;3;Flight HF941 delayed 4 hours with zero communication from staff. I will avoid Air CI and recommend others do the same.;Neutre;Confort;EN;BKG000160
REV000053;CUST0286;FLT00384;R005;2025-10-13;3;Lost my luggage for 3 days after flight HF644. Customer service was completely unhelpful. Terrible experience overall.;Neutre;Bagages;EN;BKG000851
REV000054;CUST0081;FLT00274;R002;2025-11-04;5;Smooth experience from check-in to landing on HF206. The crew was professional and the flight arrived early. Well done.;Positif;Rapport qualité;EN;BKG000908
REV000055;CUST0110;FLT00193;R007;2025-10-09;5;Smooth experience from check-in to landing on HF522. The crew was professional and the flight arrived early. Well done.;Positif;Confort;EN;BKG000521
REV000056;CUST0004;FLT00154;R007;2025-04-24;2;The aircraft on flight HF843 was old and dirty. Entertainment system broken. Not worth the 760 USD I paid.;Négatif;Retard/Annulation;EN;BKG000440
REV000057;CUST0136;FLT00188;R007;2025-10-26;5;Très bonne surprise pour ce vol ABJ?CMN. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Embarquement;FR;BKG000512
REV000058;CUST0250;FLT00423;R005;2025-12-20;3;Bagage arrivé 7 jours après moi à DKR. Aucune indemnisation proposée. Service client injoignable. Scandaleux pour une compagnie qui veut être sérieuse.;Neutre;Confort;FR;BKG001440
REV000059;CUST0062;FLT00446;R002;2025-04-27;3;Retard de 2h sur HF490 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 2h. Expérience désastreuse.;Neutre;Prix/Rapport qualité;FR;BKG001337
REV000060;CUST0114;FLT00079;R001;2025-01-26;4;Rien à redire : vol à l'heure, bagages à la sortie en 10 minutes, personnel aimable. Continuez comme ça.;Positif;Confort;FR;BKG001380
REV000061;CUST0293;FLT00382;R008;2025-01-26;4;Good value for a regional flight. Comfortable seats, attentive service, smooth check-in. Pleasantly surprised.;Positif;Ponctualité;EN;BKG001123
REV000062;CUST0293;FLT00101;R008;2025-10-15;2;Repas servi froid, aucun choix possible sur vol HF880. Pour 722 USD en classe affaires, c'est en dessous du minimum acceptable.;Négatif;Bagages;FR;BKG001262
REV000063;CUST0098;FLT00165;R010;2025-06-26;2;Annulation de dernière minute sans solution de remplacement. 837 USD remboursés sur 823 USD payés. Je n'ai aucune confiance dans cette compagnie.;Négatif;Service client;FR;BKG001217
REV000064;CUST0192;FLT00080;R001;2025-02-13;2;Lost my luggage for 6 days after flight HF941. Customer service was completely unhelpful. Terrible experience overall.;Négatif;Prix/Rapport qualité;EN;BKG000231
REV000065;CUST0170;FLT00108;R001;2025-10-03;4;Équipage très professionnel et souriant sur le vol HF114. Départ à l'heure, bagages récupérés rapidement. Excellente expérience, je reviendrai.;Positif;Confort;FR;BKG000434
REV000066;CUST0270;FLT00023;R005;2025-05-11;5;Rien à redire : vol à l'heure, bagages à la sortie en 11 minutes, personnel aimable. Continuez comme ça.;Positif;Embarquement;FR;BKG000349
REV000067;CUST0056;FLT00010;R001;2025-05-30;5;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Service bord;FR;BKG001330
REV000068;CUST0235;FLT00288;R008;2025-12-31;3;Personnel au sol peu professionnel lors de l'enregistrement. 31 minutes d'attente en file prioritaire — aucun sens du service.;Neutre;Retard/Annulation;FR;BKG000045
REV000069;CUST0121;FLT00257;R001;2025-05-22;5;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Rapport qualité;FR;BKG000127
REV000070;CUST0196;FLT00267;R006;2025-12-14;4;Smooth experience from check-in to landing on HF386. The crew was professional and the flight arrived early. Well done.;Positif;Embarquement;EN;BKG001255
REV000071;CUST0298;FLT00278;R005;2025-12-17;5;Très bonne surprise pour ce vol ABJ?DKR. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Confort;FR;BKG000415
REV000072;CUST0273;FLT00369;R004;2025-03-02;4;Rien à redire : vol à l'heure, bagages à la sortie en 6 minutes, personnel aimable. Continuez comme ça.;Positif;Rapport qualité;FR;BKG000378
REV000073;CUST0097;FLT00055;R007;2025-03-09;1;Lost my luggage for 4 days after flight HF523. Customer service was completely unhelpful. Terrible experience overall.;Négatif;Service client;EN;BKG000379
REV000074;CUST0245;FLT00069;R001;2025-09-15;5;Pleasant flight HF680, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Embarquement;EN;BKG001239
REV000075;CUST0139;FLT00212;R009;2025-04-24;2;Flight HF585 delayed 3 hours with zero communication from staff. I will avoid Air CI and recommend others do the same.;Négatif;Confort;EN;BKG001375
REV000076;CUST0195;FLT00369;R005;2025-06-10;2;As a Gold member I expect better. Crew on HF601 was dismissive and unhelpful throughout the entire flight.;Négatif;Prix/Rapport qualité;EN;BKG000808
REV000077;CUST0021;FLT00286;R010;2025-07-18;4;Siège business très confortable sur ce long-courrier. Repas de qualité, équipage aux petits soins. Le meilleur vol que j'ai eu avec Air CI.;Positif;Embarquement;FR;BKG001058
REV000078;CUST0238;FLT00425;R001;2025-11-27;2;Bagage arrivé 5 jours après moi à BYK. Aucune indemnisation proposée. Service client injoignable. Scandaleux pour une compagnie qui veut être sérieuse.;Négatif;Service client;FR;BKG000926
REV000079;CUST0104;FLT00452;R002;2025-08-21;3;Boarding process for HF238 was chaotic with no organization. Missed my connection because of the delay — no assistance offered.;Neutre;Prix/Rapport qualité;EN;BKG000185
REV000080;CUST0197;FLT00373;R006;2025-09-19;4;Rien à redire : vol à l'heure, bagages à la sortie en 6 minutes, personnel aimable. Continuez comme ça.;Positif;Service bord;FR;BKG001254
